,section_title,section_text
0,Overview,"This article describes how to create custom fields in Wrike. This is a 75-word placeholder.
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent egestas dapibus felis. Ut at enim vel ex laoreet iaculis. Morbi sollicitudin tristique purus quis volutpat. Sed odio libero, consequat nec lacinia et, lacinia ac libero. Suspendisse scelerisque lacus arcu, eget consequat lorem pharetra imperdiet. Nam auctor, nisl sed hendrerit luctus, nibh ante ornare mi, id tempus purus magna eget nulla."
1,How to Create Custom Fields in Wrike,"Select a folder, project, or Space from the workspace’s left-hand Navigation panel.
Switch to the Table view.
Click the “+” sign 2 that appears on the right-hand side of the table.
Type in a name for your new field and press “Enter” on your keyboard.
Specify field properties on the pop-up which appears. You have options to:
Edit the field name
Choose a field type
Default aggregation (available for numeric custom fields: Number, Percentage, Currency, and Duration)
Select where to apply your custom fields
Designate who the field should be shared with
Click ""Create.""
Your custom field is created and added to the locations you specified in Step 5."
2,Quick FAQ,"Is there a limit to the number of custom fields?
No. You can create an unlimited number of custom fields in your account and as many custom fields to each folder, project, or space as you need."
3,What's Next?,"Where custom fields are visible?
How to edit custom fields?"
4,Feature Updates,"Log In as Another User
Security minded? For Enterprise admins, we added the option to log in as another user.
Hover and Attachments
We made it easier to download files and add them to review. Now you just hover over an attachment and click the download icon or ""Add to Review"".
Offline Requests on iOS
You're offline. You have an iPhone. You need to submit a Request. You can submit a Request from Wrike's iOS app while offline and your Request is submitted when you reconnect.
Row Numbers in Reports
Reports needed row numbers. We added them. That's all."
5,Fixes,"Email and Incorrect Formatting
Sometimes, when you created a task via email, the description wasn't formatted correctly. Now, everything works as it should.
Timelog Report and Last Week Filter
If you created a Timelog Report and filtered by last week, there were some cases where entries from the current week would show up. We took care of it, Reports show the correct tasks."
6,Feature Updates,"Wrike Inbox Sent Tab
Everyone's Wrike Inbox now has a sent tab. The tab shows all tasks where you've left a comment so it's easier to go back and find tasks.
Request Form Submission on iOS
Our iOS users out there can now use Request forms from our mobile app. Fill them out, submit them. Get going.
New Keyboard Shortcuts
Two new keyboard shortcuts joined the Wrike family: 1) Add task to Folder and 2) Add a new comment.
Collaborators and Live Editor
Collaborators can now see changes to the description field in real time (before there was a lag). This is for Wrike's browser version, not the mobile version.[OLD]Collaborators
Edit Dashboard Widget Sorting
You can change a widget's sorting order by editing it right from the Dashboard tab."
7,Fixes,"Filter by Custom Fields
Upper and lower case are no longer taken into account when you're filtering by Custom Fields. This is for the filters: contains, starts with, ends with, and equal to.
Jumping on Stream
Before: If you opened a Folder's Stream, in some cases the tasks would jump around when you clicked on an item. We changed that so that it doesn't happen anymore."
8,Feature Updates,"Wrike Meetings in Labs
We've always said Wrike is great for running meetings and we're taking things a step further. Enable Wrike Meetings from Labs to start calls with members of your Wrike account and get work done.[OLD][Internal] Wrike Meetings
Wrike's Desktop App in Labs
All the features we know and love from the browser version, are now available in our new desktop app. Use it to stay on top of your Inbox notifications, and keep Wrike open without using up a browser tab (or tabs).
Outlook Actionable Messages
Out of beta and into production. Anyone who uses Office 365 can now use Outlook Actionable Messages.
Email Notification Split Up
It's a breakup, but a happy one. We've split up email notifications so that you can get notifications for @mentions OR assignments, you don't have to get both anymore if you don't want to.
Search + Consolidation on the Android App
We improved search so now you see suggested items as soon as you start searching.
There are 2 tabs on the Browse view now instead of 3. The new Quick Access tab shows items from the old Recent and Starred tabs.
Custom Fields on Audit Reports
Audit Reports now track changes to Custom Field settings. So if someone changed the field type, name, or who it's shared with, you'll see that.
Goodbye ""Later"" in Daily To-Dos
The ""Later"" button in the Daily To-Do email is now called the ""Postpone for 1 month"" button. AKA the procrastination button."
9,Product,"Back it Up...Undo in the Request Form Builder
After taking certain actions, admins now see an undo button for 10 seconds in the Request Form Builder. So whether you change your mind about something or clicked something by mistake (it happens to all of us), we're there for you.
Custom Logos
We're consolidating. Instead of having to upload two separate logos, you'll now use the same logo for both a branded Workspace and branded email notifications.
Comments in Inbox
For two days earlier this week, you may have noticed that notifications showed up in Inbox if you commented on a task. We listened to your feedback and rolled back the release so we can fine-tune things.
Beta Program for Recurrent Tasks
We're currently running a beta program for a new version of recurrent tasks. Email our Support team at support@team.wrike.com if you're interested in participating."
10,Fixes,"Image Orientation
Before: In some cases, images may have shown up oriented the wrong way, but only in Wrike. Now: if an image is oriented correctly before you upload it, then you'll see it oriented correctly in Wrike as well.
OneDrive Attachments
Before: You couldn't attach files from OneDrive using the attachment button in the comment section. Now: you can attach OneDrive files just fine."
11,Feature Updates,"Board View See More/Hide More
Before you could only see tasks from one workflow at a time on the Board View. Now, if there are tasks in a different workflow, you'll see an ""Other tasks"" column with those tasks.
You can also collapse columns if you don't want to see tasks with a particular status.
Matching Attachment Extensions
You can add different versions of an attachment. Now when you upload a new version of an attachment, it should be the same type of file (for example .doc) as the previous version of the attachment.
Edit Custom Dashboard Widgets
We live in a new world. If you create a Custom Widget you can now edit it (instead of having to delete and recreate it). Celebrate with us. Important exception: you can't edit the pre-built Dashboard widgets, widgets with Custom Field filters, or Analytics widgets.
Unread Inbox Notifications
Mark Inbox notifications as unread and keep an eye on the notifications that matter most to you."
12,Fixes,"User Group Filters on Timelog Reports
Filtering by User Groups wasn't working properly in Timelog Reports. Fixed, so now when you filter a Timelog Report by a User Group, the Report contains the timelog entries added by members of this User Group."
13,Feature Updates,"Reports - Facelift, Aggregation, and More
Reports not only look nicer (larger font, better color-coding), but aggregation values now also show up on Reports, we improved sorting of and within Groupings, wrap text works with more fields, and auto-saving for formatting options. Read more details here.
Filter Inbox
In Wrike's Inbox, you can now choose to see all your notifications or just the unread ones.
Images on the Board View
Images now show up on the Board View. What does that mean? The most recent image you've attached to a task appears on the VIew. For our word-friendly friends, you can hide images if you'd rather not see them.
Proofing Marker Color Enhancements
Proofing markers aren't just pink anymore - there are 6 color options so it's easier to see who made which comment. Go ahead, taste the rainbow.
Dynamic Request Forms on Android
Before you couldn't use dynamic Request forms on the Android app (:cry:), but now you can!
Request Form Editing Options
You add a dropdown or checkmark question to a form, then realize the answer options should be in a different order. We've all been there (all right, only some of us). Well, now you can drag and drop answers into the right order without starting all over again.
Recent Tasks and User Search (in Labs)
The latest Wrike Labs feature lets you see your most recently used tasks and even search for other people in your Wrike account.
Security Improvements: See something, Say Something
Noticed a Security vulnerability in Wrike? Report if from our Security page."
14,Feature Updates,"Comment Spellchecker
In a much-requested move, we've enabled a beta version of a spellchecker in Wrike Labs. *Insert sigh of relief from all of us who need spelling help*.
Outlook Actionable Messages
Outlook Actionable Messages let you make changes to a Wrike task right from the email notification you receive. Want to try it out? Reach out to our team at support@team.wrike.com.
Fixes
Submitting External Forms
For a short time, when someone submitted an external Request form an error message appeared stating that the request wasn't submitted even though it was. Everything is fixed now. The error message is gone, requests are being submitted, tasks and Projects are being created.
Conflicts Monitor Malfunction
Conflicts weren't appearing on the Conflicts Monitor Dashboard widget or in analytics. Taken care of and conflicts show up again."
15,Feature Updates,"Subtask and Task Statuses
Subtasks and Tasks are getting a little closer. Now, when you complete an active parent task, you'll be asked if you want to complete any active subtasks as well. There's more to it, read more on our task page.
Dynamic Request Form Upgrades
Admins can now amp up their Request forms. Add assignees or parent Folders based on the answers a respondent chooses on dropdown or checkbox questions. Or trigger a Project from different templates based on which dropdown answer is selected. Learn more on our dynamic Request form page.
UI Name Changes
You can search for Folders and Projects in the left-hand Folder tree. The functionality hasn't changed, but now instead of ""Search"" the Folder panel says ""Filter""."
16,Fixes,"Broken Request Forms
In certain cases when users tried to open a Request form, they got an error message. Fixed, all Request forms work properly now."
17,Feature Updates,"Approval Filters in Reports
Approvals filters in task Reports and Approvals filters from the List View are in line now - aka the filters are the same in both places. Check out the Approvals Help Center page for a reminder of what Approval filters are available.
Proofing Comment
Before: You had to click a button in the Proofing viewer to see the comments panel. Now: Just click the image. If there are comments, then the comments panel opens. If there are no comments yet, a dot marker is added to the image and you can start typing your comment.
CAPTCHA on External Request Forms
External Request Forms are now protected with CAPTCHA (the program that asks you to enter some information to prove that you're a real person and not a robot)."
18,Fixes,"Workflow Names in Report Snapshots
In some cases, column-type Report Snapshots displayed workflow IDs instead of workflow names (even though the Reports themselves were fine). The same thing happened with status groups and Project Owners. Everything's fixed now. IDs are out, names are in.
Signed PDFs in Preview
PDFs which were signed via e-signature weren't opening in preview. Now they are.
Local File Links in Descriptions
Before: If you inserted a link to a local file with a file:// prefix to a Task, Folder, or Project's description, the link didn't work. Now: Links to local files work fine (because we whitelisted the ""file://"" prefix). Kudos to you if you know what that means."
19,Feature Updates,"The Beginning of Offline on iOS
We've made the first foray into offering some offline features for iOS. For this release, we've updated the app so that now, if you've opened a task while online and then go offline you'll still be able to read the information from that task. For now, offline view is a read-only view so you can't make changes while offline.
Task Stream on iOS
There's an updated task stream on iOS which makes it easier to distinguish comments from other updates.
Timeline and Workload View on Android
Android now has a faster Timeline View and now you can also use the Workload View from the app! Click the Folder menu button and select ""View on Workload"" to open the Workload View."
20,Fixes,"Remind Password Option on Mobile
If you tried using the ""Forgot password"" option from a mobile app (we all have to at some point), the page opened but it didn't look so hot. Now it looks nice and spiffy again.
Text Mix-Up in Email Notifications
Before, email notifications about Folders and Projects stated ""You got this update because you created the task"". We've cleared things up and now if the notification is about a Folder/Project it says so."
21,Feature Updates,"Duplicating Tasks
Before tasks duplicates were always created in the same Folder as the original task, but now you can choose to have the duplicate created in a different Folder.
Large Files Upload Faster
In most browsers, large files (files bigger than 10MB) now get uploaded to Wrike faster. Upload speed has not changed in Internet Explorer or Edge.
Microsoft Teams Enhancements (yes, there's more than one)
First: We all love drag and drop and now you can drag and drop tasks on the List View in Microsoft Teams. This is synced with the priority sorting order of the List View in the desktop version of Wrike.
Second: From the List View in MS Teams, you can still choose to see all tasks (with all statuses) or you can filter tasks to just see those with an active status.
Webinar Page Localized
Our new webinar page is now available in French, German, Italian, Spanish, and Russian. We may be biased, but we think they look great."
22,Fixes,"Malfunctioning Links
Some links (for example, ones starting with conisio:// and smb://) weren't working properly if you included them in Wrike tasks. Fixed, now the links are working fine."
23,Feature Updates,"More Filters on the Board View
We heard your requests and we added more filters to the Board View. Now, you can use all the filters you know and love from the view (with the exception of status filters and review related filters). Start sorting.
Downloading Files from the Proofing Viewer
You could download files from the Proofing Viewer before but we wanted to make it easier: now it's one click instead of two. Just use the download button to the right of the file's name.
Duration Column in Exported Reports
We've worked some magic and now when you have a Report which shows the ""Duration"" column, that column is exported to Excel (if you export the Report to Excel of course).
Profile Button in Microsoft Teams
Wrike and Microsoft Teams just got a little more personal. Edit your Wrike profile details (name, phone number, and email address) directly from MS Teams.
Folder Tree Preferences
Collapse or expand the sections in your Folder tree (the starred section, Folders or Projects with Subfolders and Subprojects, or entire accounts), and Wrike will remember* your settings the next time you open Wrike in your browser or log back in. *Give it a few minutes before exiting Wrike in order for your savings to be saved."
24,Video Release Notes,"Check out video release notes, or read about this week's updates below."
25,Feature Updates,"Board View Enhancements
Folder Info Panel. Folder and Project info panels are now easy to reach from the Board View - just click the icon in the view's upper right-hand corner.
Task importance. Change a task's importance from the Board View as well. Right click on a task, hover over importance and select the appropriate importance level. Just a reminder: in Wrike (and life) importance and priority mean different things.
Tasks in Salesforce Templates
You can now have up to 250 tasks in Wrike Salesforce templates.
Project Wizard
The Project Wizard is a feature from Wrike Labs. The wizard is getting smarter - before the ""List View"" was always preselected as the default view option. Now, for Subfolders and Subprojects, the wizard preselects the same default view that's applied to the parent Folder or Project. If you're creating a top-level Folder, then the wizard preselects the same default view option as the last Folder/Project you created."
26,Fixes,"Avatars in Internet Explorer and Edge
If you use Internet Explorer or Edge you may have noticed that some profile pictures were replaced with an ""x"" instead of the images you're used to seeing. We fixed the disappearing act and now you can see your (and your teammates) avatars again.
Thumbnails in the Daily Digest
Image thumbnails from task descriptions weren't loading correctly in the Daily Digest. It's all taken care of now, and you can see your thumbnails again."
27,Video Release Notes,"Check out video release notes, or read about this week's updates below."
